"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","R_Predicted_Price","R_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712255353-12231","https://qatarsale.com/en/product/dodge_charger_rt_plus_white_sedan_automatic_2023-204580","Dodge","Dodge-Charger","Dodge-Dodge-Charger-R/T Plus-8-Automatic","2023","159,999","0","216,110.1",35.0696636298421,"216,500.2",35.313497874448,"2,023.00","0.00","215,415.67","694.4444","0"
"1712255353-12234","https://qatarsale.com/en/product/dodge_charger_rt_plus_white_and_black_sedan_automatic_2023-204576","Dodge","Dodge-Charger","Dodge-Dodge-Charger-R/T Plus-8-Automatic","2023","159,999","0","216,110.1",35.0696636298421,"216,500.2",35.313497874448,"2,023.00","0.00","215,415.67","694.4444","0"
"1712256237-14460","https://qatarsale.com/en/product/dodge_charger_rt_plus_orange_sedan_automatic_2023-209928","Dodge","Dodge-Charger","Dodge-Dodge-Charger-R/T Plus-8-Automatic","2023","159,999","0","216,110.1",35.0696636298421,"216,500.2",35.313497874448,"2,023.00","0.00","215,415.67","694.4444","0"
"1712256812-15811","https://qatarsale.com/en/product/dodge_charger_rt_plus_green_sedan_automatic_2023-212425","Dodge","Dodge-Charger","Dodge-Dodge-Charger-R/T Plus-8-Automatic","2023","159,999","0","216,110.1",35.0696636298421,"216,500.2",35.313497874448,"2,023.00","0.00","215,415.67","694.4444","0"
"1712256891-16044","https://qatarsale.com/en/product/dodge_ram_blue_pick_up_automatic_2023-212661","Dodge","Dodge-Ram","Dodge-Dodge-Ram-Standard-8-Automatic","2023","149,000","  2,700","187,935.55",26.1312440591103,"187,316.55",25.7158025727069,"2,019.75","      0.00","129,166.67"," 61,824.7496","-3,055.8627"
"1712256103-14101","https://qatarsale.com/en/product/dodge_ram_white_pick_up_automatic_2021-128741","Dodge","Dodge-Ram","Dodge-Dodge-Ram-Standard-8-Automatic","2021","101,000"," 30,000","154,458.65",52.9293581851306,"124,257.43",23.027158019802,"2,019.75"," 47,389.13","129,166.67"," 21,110.8727"," 4,181.1124"
"1712255488-12571","https://qatarsale.com/en/product/gmc_sierra_1500_red_pick_up_automatic_2022-205734","GMC","GMC-Sierra","GMC-GMC-Sierra-1500-8-Automatic","2022","106,750"," 24,000","145,834.03",36.6126767475227,"132,537.53",24.1569403278688,"2,016.838"," 43,130.25","84,993.24"," 57,840.090","  3,000.69909"
"1712254069-8770","https://qatarsale.com/en/product/gmc_sierra_at4_black_pick_up_automatic_2021-185826","GMC","GMC-Sierra","GMC-GMC-Sierra-AT4-8-Automatic","2021","119,000"," 43,000","154,424.19",29.7682280334031,"144,495.21",21.424549819928,"2,020.89"," 62,507.58","142,963.41","  8,431.052","  3,029.7244"
"1712256824-15863","https://qatarsale.com/en/product/gmc_sierra_elevation_black_pick_up_automatic_2021-188004","GMC","GMC-Sierra","GMC-GMC-Sierra-Elevation-8-Automatic","2021"," 98,000"," 18,000","158,349.90",61.5815325099629,"118,173.17",20.5848639455782,"2,021.513"," 71,495.02","158,263.16","-11,966.90","12,053.6461"
"1712256597-15392","https://qatarsale.com/en/product/infiniti_qx_80_gray_suv_automatic_2017-190829","Infiniti","Infiniti-QX","Infiniti-Infiniti-QX-80-8-Automatic","2017","110,000"," 36,000","138,144.23",25.5856677484304,"134,896.89",22.6335344848485,"2,018.069","140,812.12","149,962.07"," -31,005.463"," 19,187.6285"
"1712255069-11423","https://qatarsale.com/en/product/mercedes_benz_e_class_400_black_sedan_automatic_2016-201947","Mercedes-Benz","Mercedes-Benz-E-Class","Mercedes-Benz-Mercedes-Benz-E-Class-400-6-Automatic","2016"," 82,000"," 34,000","101,554.06",23.8464110253822,"111,703.09",36.2232850813008,"2,016.182","101,071.43","100,454.36"," -7,940.256","  9,039.9499"
"1712256918-16126","https://qatarsale.com/en/product/mini_cooper_s_beige_hatchback_automatic_2020-192237","Mini","Mini-Cooper","Mini-Mini-Cooper-S-4-Automatic","2020"," 65,000"," 34,000"," 93,813.55",44.3285413836423," 80,337.57",23.596266,"2,019.755","53,280.49","89,905.64","  1,955.963"," 1,951.94786"
"1712254843-10848","https://qatarsale.com/en/product/nissan_navara_white_pick_up_automatic_2017-199656","Nissan","Nissan-Navara","Nissan-Nissan-Navara-Standard-4-Automatic","2017","35,995"," 36,751","49,329.03",37.0441248321525,"48,792.39",35.5532308190953,"2,018.182","63,366.67","50,354.09"," -2,802.841"," 1,777.7827"
"1712255173-11714","https://qatarsale.com/en/product/suzuki_jimny_black_suv_automatic_2018-203065","Suzuki","Suzuki-Jimny","Suzuki-Suzuki-Jimny-Standard-4-Automatic","2018"," 39,000"," 16,000","50,227.06",28.7873362747897," 52,182.19",33.8004761904762,"2,021.056","48,640.74","72,979.17","-24,952.917","  2,200.8116"
"1712254880-10951","https://qatarsale.com/en/product/toyota_fortuner_white_suv_automatic_2015-179838","Toyota","Toyota-Fortuner","Toyota-Toyota-Fortuner-Standard-4-Automatic","2015"," 55,000"," 13,000"," 67,464.83",22.6633331551838," 81,205.88",47.647056119638,"2,020.433","155,518.519","98,600.00","-43,156.878","12,021.7115"
"1712253981-8508","https://qatarsale.com/en/product/toyota_hilux_white_pick_up_automatic_2024-189984","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Automatic","2024"," 92,000","      0","110,917.83",20.562857281251,"112,605.88",22.3976970717178,"2,022.448","      0.000","100,175.75"," 10,742.083","      0.00000"
"1712251312-1160","https://qatarsale.com/en/product/toyota_hilux_2023_white_manual_pick_up-96397","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Manual","2023"," 69,000","      0","94,529.41",36.9991476316717," 95,297.48",38.1122911359073,"2,021.062","  9,328.921","84,104.94","  9,034.253","  1,390.2211"
"1712254387-9619","https://qatarsale.com/en/product/toyota_hilux_white_pick_up_manual_2024-192231","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Manual","2024"," 80,000","      0","98,908.67",23.6358329170833,"102,755.28",28.4440971560072,"2,021.062","      0.000","84,104.94"," 14,803.728","      0.0000"
"1712254458-9821","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_twin_turbo_white_suv_automatic_2024-176773","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR Twin Turbo-6-Automatic","2024","249,000","      0","312,284.6",25.4155061072866,"312,716.2",25.5888500171562,"2,023.058","     0.00","288,938.64"," 23,345.9717","      0.0000"
"1712253100-6239","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_twin_turbo_bronze_suv_automatic_2024-178174","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR Twin Turbo-6-Automatic","2024","259,000","      0","312,284.6",20.5732085741868,"312,716.2",20.7398596690034,"2,023.058","     0.00","288,938.64"," 23,345.9717","      0.0000"
