Id,Link,Make,Model,Trim,Year,Price,Mileage,L_Predicted_Price,L_Price_Gap_Percentage,R_Predicted_Price,R_Price_Gap_Percentage,Average_Year_per_Trim,Average_Milerange_per_Trim_Year_LR,Average_Price_per_Trim,Year_Effect,Mileage_Effect,Check if sold on 16Apr24,Sold Date
1712650227-259,https://qatarsale.com/en/product/lexus_lx_570_black_suv_automatic_2020-214974,Lexus,Lexus-LX,Lexus-Lexus-LX-570-8-Automatic,2020,315,"85,000.00","317,457.88",100680.2786,"303,516.53",96254.45503,"2,016.31","93,054.56","200,980.25","114,933.66","1,543.97",,
1712650157-62,https://qatarsale.com/en/product/land_rover_range_rover_velar_se_red_suv_automatic_2019-215180,Land Rover,Land Rover-Range Rover,Land Rover-Land Rover-Range Rover-Velar SE-4-Automatic,2019,"150,000.00","22,000.00","166,124.00",10.74933333,"290,988.29",93.99219591,"2,024.00",0,"349,000.00","-174,500.00","-8,376.00",,
1712650239-306,https://qatarsale.com/en/product/ford_f_150_silver_pick_up_automatic_2016-215357,Ford,Ford-F,Ford-Ford-F-150-6-Automatic,2016,"73,000.00","87,000.00","87,321.94",19.61909353,"111,152.47",52.26365297,"2,019.77","152,275.11","174,646.94","-95,237.39","7,912.38",Sold,15-Apr-24
1712650146-23,https://qatarsale.com/en/product/ford_raptor_svt_black_pick_up_automatic_2014-215164,Ford,Ford-Raptor,Ford-Ford-Raptor-SVT-8-Automatic,2014,"48,000.00","286,000.00","71,714.93",49.40611119,"65,119.47",35.66556771,"2,015.91","196,686.75","124,272.73","-39,971.52","-12,586.27",,
1712650157-64,https://qatarsale.com/en/product/mercedes_benz_s_class_400_white_sedan_automatic_2015-215179,Mercedes-Benz,Mercedes-Benz-S-Class,Mercedes-Benz-Mercedes-Benz-S-Class-400-6-Automatic,2015,"100,000.00","66,000.00","127,591.75",27.59174502,"135,097.53",35.09752727,"2,014.96","123,306.67","113,909.09","3,655.49","10,027.16",,
1712650250-357,https://qatarsale.com/en/product/nissan_patrol_se_white_suv_automatic_2016-215004,Nissan,Nissan-Patrol,Nissan-Nissan-Patrol-SE-8-Automatic,2016,"59,000.00","165,000.00","87,134.45",47.6855159,"78,818.03",33.58988893,"2,015.86","194,245.68","85,254.00","-1,373.53","3,253.98",,
1712650146-29,https://qatarsale.com/en/product/land_rover_range_rover_vogue_autobiography_black_suv_automatic_2014-215154,Land Rover,Land Rover-Range Rover,Land Rover-Land Rover-Range Rover-Vogue  Autobiography-8-Automatic,2014,"90,000.00","169,000.00","103,775.82",15.30646368,"117,698.56",30.77618111,"2,016.83","147,284.56","210,460.27","-102,770.50","-3,913.95",,
1712650189-157,https://qatarsale.com/en/product/nissan_patrol_platinum_white_suv_automatic_2016-215213,Nissan,Nissan-Patrol,Nissan-Nissan-Patrol-Platinum-8-Automatic,2016,"79,000.00","165,000.00","105,804.61",33.9298803,"101,961.25",29.06486739,"2,016.03","161,629.65","109,031.74","-1,790.90","-1,436.23",,
1712650146-24,https://qatarsale.com/en/product/mercedes_benz_cla_250_black_sedan_automatic_2023-215163,Mercedes-Benz,Mercedes-Benz-CLA,Mercedes-Benz-Mercedes-Benz-CLA-250-4-Automatic,2023,"143,000.00","22,000.00","183,669.43",28.44016132,"182,789.97",27.82515534,"2,021.13","17,091.84","149,249.94","38,292.83","-3,873.33",sold,14-Apr-24
1712650250-342,https://qatarsale.com/en/product/toyota_land_cruiser_vxr_pearl_suv_automatic_2016-208975,Toyota,Toyota-Land Cruiser,Toyota-Toyota-Land Cruiser-VXR-8-Automatic,2016,"132,000.00","225,000.00","148,257.54",12.31632179,"159,185.40",20.595,"2,017.89","230,937.42","185,270.15","-37,234.64",222.0352,,
1712650250-358,https://qatarsale.com/en/product/toyota_land_cruiser_vxs_black_suv_automatic_2016-215006,Toyota,Toyota-Land Cruiser,Toyota-Toyota-Land Cruiser-VXS-8-Automatic,2016,"157,000.00","157,000.00","184,042.18",17.22431749,"184,261.70",17.36414013,"2,017.00","214,125.00","191,250.00","-21,875.64","14,667.82",,
1712650157-69,https://qatarsale.com/en/product/mini_cooper_white_hatchback_automatic_2020-215176,Mini,Mini-Cooper,Mini-Mini-Cooper-Standard-4-Automatic,2020,"62,000.00","67,000.00","86,353.69",39.28014545,"71,304.02",15.0064836,"2,019.32","44,333.33","81,120.00","8,931.82","-3,698.13",,
1712650146-2,https://qatarsale.com/en/product/land_rover_range_rover_sport_svr_black_suv_automatic_2016-136302,Land Rover,Land Rover-Range Rover,Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic,2016,"165,000.00","89,000.00","207,683.98",25.86907588,"187,717.20",13.768,"2,017.50","127,380.95","239,950.00","-43,986.51","11,720.48",,
1712650157-70,https://qatarsale.com/en/product/toyota_land_cruiser_vxr_white_suv_automatic_2015-215175,Toyota,Toyota-Land Cruiser,Toyota-Toyota-Land Cruiser-VXR-8-Automatic,2015,"100,000.00","227,000.00","132,651.19",32.65118582,"113,760.33",13.76033333,"2,017.89","261,622.95","185,270.15","-59,007.44","6,388.48",sold,13-Apr-24
1712650227-283,https://qatarsale.com/en/product/land_rover_range_rover_vogue_bronze_suv_automatic_2016-189413,Land Rover,Land Rover-Range Rover,Land Rover-Land Rover-Range Rover-Vogue-8-Automatic,2016,"139,000.00","64,000.00","160,162.69",15.22495679,"157,607.66",13.38680511,"2,015.68","125,936.36","142,975.59","4,030.34","13,156.76",,
1712650201-206,https://qatarsale.com/en/product/bmw_8_series_850i_blue_sedan_automatic_2019-204477,BMW,BMW-8-Series,BMW-BMW-8-Series-850i-8-Automatic,2019,"205,000.00","31,000.00","265,173.76",29.35305366,"231,117.72",12.74035039,"2,020.14","34,333.33","283,571.43","-15,971.43","-2,426.24",,
1712650146-3,https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2019-215171,Toyota,Toyota-Land Cruiser,Toyota-Toyota-Land Cruiser-GX-6-Automatic,2019,"118,000.00","130,000.00","158,292.88",34.14650449,"132,213.70",12.04550847,"2,022.19","141,427.63","212,786.34","-57,335.76","2,842.29",,
1712650250-328,https://qatarsale.com/en/product/land_rover_range_rover_sport_svr_white_suv_automatic_2015-203178,Land Rover,Land Rover-Range Rover,Land Rover-Land Rover-Range Rover-Sport SVR-8-Automatic,2015,"120,000.00","180,000.00","152,171.15",26.80929483,"132,612.56",10.51046958,"2,017.50","138,523.81","239,950.00","-76,962.70","-10,816.15",,
1712650239-317,https://qatarsale.com/en/product/lexus_lx_570_s_white_suv_automatic_2018-215331,Lexus,Lexus-LX,Lexus-Lexus-LX-570 S-8-Automatic,2018,"235,000.00","92,000.00","261,191.86",11.14547078,"259,070.77",10.24287901,"2,017.18","139,026.43","224,152.42","21,688.56","15,350.87",sold,14-Apr-24
1712650178-143,https://qatarsale.com/en/product/porsche_cayenne_gts_gray_suv_automatic_2014-188369,Porsche,Porsche-Cayenne,Porsche-Porsche-Cayenne-GTS-8-Automatic,2014,"73,000.00","162,000.00","80,363.97",10.08762895,"80,464.35",10.22513205,"2,015.07","115,555.56","124,928.57","-36,895.99","-7,668.62",,
